Name,Stars,Forks,Watchers,Open Issues,Last Push
AI_Schema_Selector,3,0,3,0,2025-08-25T15:47:06Z
Catch_The_Ball,3,0,3,0,2025-03-06T14:07:55Z
EcoFinds,1,0,1,0,2025-09-06T12:34:07Z
Face_Recognition_Attendance_System,3,0,3,0,2024-12-02T16:51:33Z
Fake_News_Predictor,3,0,3,0,2025-08-21T17:14:09Z
MazeScape,3,0,3,0,2025-09-01T15:27:06Z
muhammadnavas,3,0,3,0,2025-08-30T09:10:00Z
my_portfolio,2,0,2,0,2025-09-09T07:36:17Z
PetRakshak,3,0,3,0,2025-05-31T05:00:50Z
Tableau_Project,1,0,1,0,2025-09-12T10:36:28Z
TrackBot,3,0,3,0,2025-03-02T04:07:00Z
